,dispute_id,predicted_category,confidence,explanation
0,D001,DUPLICATE_CHARGE,0.97,"VALIDATED: Multiple SUCCESS transactions found| Original: DUPLICATE_CHARGE, Semantic: DUPLICATE_CHARGE(0.950), Final: DUPLICATE_CHARGE "
1,D002,REFUND_PENDING,0.8460000157356262,"VALIDATED: FAILED transaction, eligible for refund| Original: REFUND_PENDING, Semantic: REFUND_PENDING(0.743), Final: REFUND_PENDING "
2,D003,FAILED_TRANSACTION,0.8289999961853027,"VALIDATED: Transaction status is FAILED| Original: FAILED_TRANSACTION, Semantic: FAILED_TRANSACTION(0.934), Final: FAILED_TRANSACTION "
3,D004,FRAUD,0.800000011920929,"VALIDATED: SUCCESS transaction reported as fraud| Original: FRAUD, Semantic: FRAUD(0.800), Final: FRAUD  "
4,D005,REFUND_PENDING,0.7979999780654907,"VALIDATED: FAILED transaction, eligible for refund| Original: REFUND_PENDING, Semantic: REFUND_PENDING(0.884), Final: REFUND_PENDING "
5,D006,DUPLICATE_CHARGE,0.9100000262260437,"VALIDATED: Multiple SUCCESS transactions found| Original: DUPLICATE_CHARGE, Semantic: DUPLICATE_CHARGE(0.850), Final: DUPLICATE_CHARGE "
6,D007,FAILED_TRANSACTION,0.6669999957084656,"VALIDATED: Transaction status is FAILED| Original: FAILED_TRANSACTION, Semantic: FAILED_TRANSACTION(0.665), Final: FAILED_TRANSACTION "
7,D008,OTHERS,0.5070000290870667,"Expected to be: FAILED_TRANSACTION, but low confidence score. "
8,D009,OTHERS,0.5419999957084656,"Expected to be: FRAUD, but low confidence score. "
9,D010,REFUND_PENDING,0.7239999771118164,"VALIDATED: FAILED transaction, eligible for refund| Original: REFUND_PENDING, Semantic: REFUND_PENDING(0.673), Final: REFUND_PENDING "
10,D011,OTHERS,0.4729999899864197,"Expected to be: DUPLICATE_CHARGE, but low confidence score. "
11,D012,FAILED_TRANSACTION,0.6859999895095825,"VALIDATED: Transaction status is PENDING| Original: FAILED_TRANSACTION, Semantic: FAILED_TRANSACTION(0.631), Final: FAILED_TRANSACTION "
12,D013,DUPLICATE_CHARGE,0.8059999942779541,"VALIDATED: Multiple SUCCESS transactions found| Original: DUPLICATE_CHARGE, Semantic: DUPLICATE_CHARGE(0.677), Final: DUPLICATE_CHARGE "
13,D014,REFUND_PENDING,0.621999979019165,"VALIDATED: FAILED transaction, eligible for refund| Original: REFUND_PENDING, Semantic: REFUND_PENDING(0.590), Final: REFUND_PENDING "
14,D015,FAILED_TRANSACTION,0.8700000047683716,"VALIDATED: Transaction status is FAILED| Original: FAILED_TRANSACTION, Semantic: FAILED_TRANSACTION(0.937), Final: FAILED_TRANSACTION "
15,D016,FRAUD,0.8889999985694885,"VALIDATED: SUCCESS transaction reported as fraud| Original: FRAUD, Semantic: FRAUD(0.815), Final: FRAUD  "
16,D017,OTHERS,0.8090000152587891,"VALIDATION: SUCCESS transaction, refund not applicable| Original: REFUND_PENDING, Semantic: REFUND_PENDING(0.902), Final: REFUND_PENDING "
17,D018,DUPLICATE_CHARGE,0.8190000057220459,"VALIDATED: Multiple SUCCESS transactions found| Original: DUPLICATE_CHARGE, Semantic: DUPLICATE_CHARGE(0.699), Final: DUPLICATE_CHARGE "
18,D019,FAILED_TRANSACTION,0.6299999952316284,"VALIDATED: Transaction status is FAILED| Original: FAILED_TRANSACTION, Semantic: FAILED_TRANSACTION(0.550), Final: FAILED_TRANSACTION "
19,D020,DUPLICATE_CHARGE,0.7940000295639038,"VALIDATED: Multiple SUCCESS transactions found| Original: DUPLICATE_CHARGE, Semantic: DUPLICATE_CHARGE(0.657), Final: DUPLICATE_CHARGE "
